jahr;sportart;indikator;geschlecht;anzahl
2005;Badminton;Kurse/Lager;;46
2005;Badminton;Leitende;;149
2005;Badminton;Teilnehmende;männlich;231
2005;Badminton;Teilnehmende;weiblich;217
2005;Baseball/Softball;Kurse/Lager;;12
2005;Baseball/Softball;Leitende;;37
2005;Baseball/Softball;Teilnehmende;männlich;86
2005;Baseball/Softball;Teilnehmende;weiblich;12
2005;Basketball und Korbball;Kurse/Lager;;59
2005;Basketball und Korbball;Leitende;;113
2005;Basketball und Korbball;Teilnehmende;männlich;531
2005;Basketball und Korbball;Teilnehmende;weiblich;338
2005;Bergsport;Kurse/Lager;;1
2005;Bergsport;Leitende;;15
2005;Bergsport;Teilnehmende;männlich;5
2005;Bergsport;Teilnehmende;weiblich;1
2005;Curling;Kurse/Lager;;5
2005;Curling;Leitende;;5
2005;Curling;Teilnehmende;männlich;14
2005;Curling;Teilnehmende;weiblich;13
2005;Diverse Sportarten;Kurse/Lager;;5
2005;Diverse Sportarten;Leitende;;24
2005;Diverse Sportarten;Teilnehmende;männlich;31
2005;Diverse Sportarten;Teilnehmende;weiblich;25
2005;Eishockey;Kurse/Lager;;7
2005;Eishockey;Leitende;;13
2005;Eishockey;Teilnehmende;männlich;112
2005;Eishockey;Teilnehmende;weiblich;1
2005;Eiskunstlauf/Eistanz;Kurse/Lager;;11
2005;Eiskunstlauf/Eistanz;Leitende;;16
2005;Eiskunstlauf/Eistanz;Teilnehmende;männlich;2
2005;Eiskunstlauf/Eistanz;Teilnehmende;weiblich;97
2005;Fussball;Kurse/Lager;;368
2005;Fussball;Leitende;;476
2005;Fussball;Teilnehmende;männlich;5506
2005;Fussball;Teilnehmende;weiblich;392
2005;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Kurse/Lager;;23
2005;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Leitende;;39
2005;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;männlich;34
2005;Geräte-, Akrobatik- und Kunstturnen, Trampolin;Teilnehmende;weiblich;216
2005;Gymnastik, Tanz und Tanzsport;Kurse/Lager;;11
2005;Gymnastik, Tanz und Tanzsport;Leitende;;19
