Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202406111200;11.80;0.00;0.00;125.00;76.10;7.70;78.00;2.90;6.50;953.20;1016.20;1016.50;-;-;-;-;-;-;-;-
COM;202406111200;20.90;0.00;0.00;271.00;52.40;10.80;170.00;5.80;8.30;942.60;1007.10;1009.80;-;-;-;-;-;-;-;-
ABO;202406111200;8.30;0.00;0.00;241.00;90.60;6.90;65.00;9.70;15.50;865.90;-;1015.70;1478.80;-;-;-;-;-;-;-
AIG;202406111200;16.50;0.00;0.00;203.00;68.20;10.60;331.00;7.60;12.60;969.20;1013.50;1014.30;-;-;-;-;-;-;-;-
ALT;202406111200;12.90;0.00;0.00;217.00;79.40;9.40;315.00;10.10;15.50;964.10;1015.60;1015.90;-;-;-;-;-;-;-;-
ARH;202406111200;12.20;0.00;0.00;207.00;82.90;9.40;207.00;2.20;4.70;969.50;1016.50;1016.60;-;-;-;-;-;-;-;-
AND;202406111200;12.60;0.00;0.00;176.00;69.90;7.30;335.00;15.10;28.40;900.30;-;1013.60;1468.50;-;-;-;-;-;-;-
ANT;202406111200;7.90;0.00;0.00;637.00;86.80;5.80;10.00;24.80;38.90;854.30;-;1015.60;1477.30;-;-;-;-;-;-;-
ARO;202406111200;5.90;0.00;0.00;180.00;80.80;2.90;50.00;6.50;13.70;808.70;-;1015.30;1468.60;-;-;-;-;-;-;-
RAG;202406111200;12.00;0.00;0.00;197.00;80.80;8.80;302.00;20.20;31.70;957.50;1015.70;1016.00;-;-;-;-;-;-;-;-
BAN;202406111200;-;-;0.00;114.00;-;-;-;-;-;-;-;-;-;-;28.00;20.20;28.10;7.70;91.30;6.40
BAS;202406111200;16.10;0.00;0.00;668.00;45.60;4.40;306.00;10.10;18.40;978.50;1015.60;1016.20;-;-;-;-;-;-;-;-
LAT;202406111200;12.10;0.00;5.00;784.00;67.40;6.30;300.00;7.20;16.90;-;-;-;-;-;-;-;-;-;-;-
BER;202406111200;13.40;0.00;0.00;238.00;68.30;7.70;27.00;12.20;20.90;950.90;1015.20;1015.90;-;-;-;-;-;-;-;-
BEZ;202406111200;15.40;0.00;0.00;476.00;58.80;7.40;42.00;5.00;10.40;977.40;1015.70;1016.20;-;-;-;-;-;-;-;-
BIA;202406111200;23.60;0.00;0.00;299.00;43.10;10.30;156.00;13.70;20.90;975.40;1006.90;1008.30;-;-;-;-;-;-;-;-
BIN;202406111200;13.30;0.00;-;-;63.70;6.60;230.00;15.50;22.70;-;-;-;-;-;-;-;-;-;-;-
BIZ;202406111200;11.30;0.00;0.00;178.00;85.50;9.00;83.00;5.40;9.70;956.90;1016.50;1016.60;-;-;-;-;-;-;-;-
BIV;202406111200;8.80;0.00;-;-;79.70;5.50;270.00;23.40;32.40;-;-;-;-;-;-;-;-;-;-;-
BIE;202406111200;14.20;0.00;0.00;272.00;63.80;7.40;38.00;10.10;20.90;935.50;-;1015.20;1486.70;-;-;-;-;-;-;-
BLA;202406111200;12.40;0.00;1.00;563.00;67.10;6.50;249.00;5.80;14.80;842.30;-;1014.10;1462.40;-;-;-;-;-;-;-
BOL;202406111200;11.70;0.00;0.00;202.00;82.50;8.80;55.00;14.40;19.40;920.50;-;1015.50;1482.70;-;-;-;-;-;-;-
BOU;202406111200;16.40;-;-;-;63.90;9.60;253.00;16.90;26.30;970.10;1013.60;1014.40;-;-;-;-;-;-;-;-
BRZ;202406111200;-;0.00;-;-;-;-;34.00;3.60;7.20;949.30;-;1015.80;-;-;-;-;-;-;-;-
BUS;202406111200;13.30;0.00;0.00;296.00;67.90;7.50;106.00;6.10;11.20;970.40;1016.00;1016.30;-;-;-;-;-;-;-;-
BUF;202406111200;11.80;0.00;1.00;283.00;47.90;1.10;299.00;14.00;23.00;798.40;-;1013.80;1441.60;-;-;-;-;-;-;-
FRE;202406111200;8.30;0.00;0.00;260.00;90.50;6.80;178.00;6.10;10.40;879.20;-;1016.30;1485.00;-;-;-;-;-;-;-
CEV;202406111200;21.00;0.00;0.00;304.00;63.60;13.80;74.00;2.20;4.70;959.90;1007.60;1009.40;-;-;-;-;-;-;-;-
CHZ;202406111200;12.20;0.00;0.00;123.00;94.40;11.30;319.00;3.60;5.80;964.50;1016.60;1016.80;-;-;-;-;-;-;-;-
CHA;202406111200;5.20;0.00;0.00;536.00;88.90;3.50;343.00;22.00;32.00;838.10;-;1016.10;1480.20;-;-;-;-;-;-;-
CHM;202406111200;8.40;0.00;0.00;275.00;90.40;6.90;108.00;9.70;20.50;886.40;-;1016.00;1482.30;-;-;-;-;-;-;-
CHU;202406111200;13.20;0.00;0.00;390.00;72.40;8.30;15.00;28.40;45.70;949.50;1014.10;1014.80;-;-;-;-;-;-;-;-
CHD;202406111200;10.90;0.00;0.00;180.00;84.00;8.30;224.00;3.20;9.70;897.50;-;1015.30;1480.40;-;-;-;-;-;-;-
CIM;202406111200;11.40;0.00;0.00;458.00;76.70;7.50;215.00;6.80;12.20;829.40;-;1013.90;1456.50;-;-;-;-;-;-;-
CDM;202406111200;8.90;0.00;-;-;79.90;5.60;9.00;11.50;18.00;-;-;-;-;-;-;-;-;-;-;-
GSB;202406111200;4.70;0.00;4.00;696.00;80.30;1.60;78.00;13.30;22.70;750.60;-;1016.60;-;3053.60;-;-;-;-;-;-
COY;202406111200;13.00;0.00;-;-;69.70;7.60;31.00;2.50;8.30;-;-;-;-;-;-;-;-;-;-;-
CMA;202406111200;1.10;-;0.00;361.00;96.70;0.60;324.00;4.30;8.60;750.50;-;1016.10;-;3041.60;-;-;-;-;-;-
CRM;202406111200;15.20;0.00;-;397.00;64.80;8.60;72.00;16.90;25.20;964.90;1015.00;1015.70;-;-;-;-;-;-;-;-
DAV;202406111200;8.50;0.00;0.00;365.00;80.80;5.40;18.00;21.60;28.40;837.20;-;1015.00;1469.80;-;-;-;-;-;-;-
DEM;202406111200;15.50;0.00;3.00;628.00;53.50;6.10;41.00;7.20;16.90;964.10;1015.10;1015.90;-;-;-;-;-;-;-;-
DIS;202406111200;10.60;0.00;0.00;278.00;73.40;6.00;76.00;8.30;12.20;879.00;-;1015.10;1477.30;-;-;-;-;-;-;-
EBK;202406111200;10.70;0.00;0.00;231.00;85.60;8.40;329.00;8.30;15.80;943.70;-;1016.70;1487.30;-;-;-;-;-;-;-
EGH;202406111200;-;-;-;-;-;-;227.00;9.00;14.80;713.40;-;1016.90;-;3045.60;-;-;-;-;-;-
EGO;202406111200;11.70;0.00;-;178.00;94.10;10.80;121.00;5.40;7.60;955.10;1016.30;1016.50;-;-;-;-;-;-;-;-
EIN;202406111200;8.30;0.00;0.00;103.00;99.90;8.30;336.00;6.10;9.40;911.40;-;1016.50;1484.30;-;-;-;-;-;-;-
ELM;202406111200;8.50;0.00;0.00;196.00;96.40;8.00;339.00;5.80;9.40;905.80;-;1016.00;1481.30;-;-;-;-;-;-;-
ENG;202406111200;7.90;0.00;0.00;115.00;96.10;7.30;228.00;6.80;10.10;897.50;-;1016.30;1483.50;-;-;-;-;-;-;-
EVI;202406111200;17.40;0.00;7.00;1179.00;64.40;10.60;338.00;23.00;43.20;957.00;1012.30;1013.70;-;-;-;-;-;-;-;-
EVO;202406111200;9.30;0.00;3.00;725.00;71.80;4.50;272.00;12.20;22.70;813.30;-;1014.80;1460.90;-;-;-;-;-;-;-
FAH;202406111200;13.90;0.00;0.00;410.00;54.90;5.00;15.00;9.70;19.80;946.40;1015.40;1016.40;-;-;-;-;-;-;-;-
FLU;202406111200;8.40;0.00;-;-;97.60;8.00;358.00;11.20;18.40;-;-;-;-;-;-;-;-;-;-;-
GRA;202406111200;13.50;0.00;0.00;563.00;81.30;10.40;37.00;20.50;28.40;939.50;-;1015.50;1486.80;-;-;-;-;-;-;-
FRU;202406111200;11.30;0.00;0.00;265.00;85.70;9.00;56.00;12.60;20.90;-;-;-;-;-;-;-;-;-;-;-
GVE;202406111200;18.10;0.00;9.00;1129.00;52.20;8.20;47.00;16.90;27.00;966.00;1013.40;1014.60;-;-;-;-;-;-;-;-
GES;202406111200;11.00;0.00;-;-;93.10;9.90;74.00;4.00;7.60;955.20;1016.40;1016.50;-;-;-;-;-;-;-;-
GIH;202406111200;11.90;0.00;0.00;213.00;86.80;9.80;358.00;1.80;4.30;961.10;1016.50;1016.70;-;-;-;-;-;-;-;-
GLA;202406111200;11.60;0.00;0.00;177.00;84.50;9.10;292.00;11.20;16.60;955.30;1015.90;1016.10;-;-;-;-;-;-;-;-
GOR;202406111200;0.50;-;2.00;652.00;85.10;-1.70;152.00;3.20;10.10;692.70;-;1017.70;-;3047.10;-;-;-;-;-;-
GRE;202406111200;13.70;0.00;0.00;403.00;73.20;9.00;99.00;2.90;5.80;965.50;1015.70;1016.10;-;-;-;-;-;-;-;-
GRH;202406111200;2.80;0.00;0.00;360.00;97.70;2.50;10.00;16.20;24.10;801.60;-;1016.70;1483.80;-;-;-;-;-;-;-
GRO;202406111200;22.50;0.00;0.00;299.00;53.70;12.60;-;-;-;970.40;1007.10;1008.60;-;-;-;-;-;-;-;-
GRC;202406111200;12.00;0.00;2.00;669.00;60.50;4.60;-;-;-;835.00;-;1013.70;1456.40;-;-;-;-;-;-;-
GOS;202406111200;9.10;0.00;-;-;89.70;7.50;1.00;12.20;19.40;906.40;-;1015.80;1480.50;-;-;-;-;-;-;-
GOE;202406111200;13.30;0.00;0.00;177.00;71.30;8.20;95.00;6.10;10.40;971.10;1016.00;1016.30;-;-;-;-;-;-;-;-
GUE;202406111200;2.90;0.00;0.00;742.00;100.00;2.90;346.00;11.90;16.60;769.30;-;1016.20;1471.10;-;-;-;-;-;-;-
GUT;202406111200;12.60;0.00;0.00;228.00;76.40;8.60;106.00;5.80;9.70;964.50;1016.20;1016.50;-;-;-;-;-;-;-;-
HLL;202406111200;14.90;0.00;0.00;617.00;59.70;7.10;308.00;0.70;4.30;966.60;1015.50;1016.10;-;-;-;-;-;-;-;-
HOE;202406111200;6.00;0.00;0.00;106.00;98.90;5.80;74.00;5.40;11.90;887.10;-;1016.50;1482.80;-;-;-;-;-;-;-
ILZ;202406111200;13.70;0.00;0.00;364.00;69.00;8.10;-;-;-;933.30;-;1014.60;1480.10;-;-;-;-;-;-;-
INT;202406111200;11.60;0.00;0.00;110.00;99.20;11.50;42.00;9.00;12.20;948.10;1015.50;1015.80;-;-;-;-;-;-;-;-
JUN;202406111200;-1.80;-;0.00;616.00;76.10;-5.40;167.00;19.80;40.30;654.70;-;1018.20;-;3039.70;-;-;-;-;-;-
KOP;202406111200;15.00;0.00;1.00;796.00;67.10;9.00;45.00;11.90;18.40;958.90;1015.20;1016.10;-;-;-;-;-;-;-;-
BRL;202406111200;11.20;0.00;0.00;339.00;63.60;4.60;329.00;14.40;29.20;895.90;-;1016.20;1488.10;-;-;-;-;-;-;-
CDF;202406111200;11.80;0.00;3.00;789.00;61.50;4.60;36.00;15.80;25.90;899.20;-;1016.00;1487.10;-;-;-;-;-;-;-
DOL;202406111200;6.10;0.00;0.00;267.00;87.30;4.20;327.00;23.80;30.60;830.40;-;1016.10;1479.20;-;-;-;-;-;-;-
LAC;202406111200;11.20;0.00;-;-;88.80;9.40;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202406111200;11.20;0.00;0.00;131.00;82.30;8.30;122.00;3.60;8.30;929.50;-;1016.00;1485.30;-;-;-;-;-;-;-
MLS;202406111200;5.10;0.00;0.00;408.00;99.40;5.00;5.00;5.00;13.00;799.90;-;1016.40;1476.30;-;-;-;-;-;-;-
LEI;202406111200;16.00;0.00;7.00;996.00;61.70;8.70;74.00;5.80;12.60;975.50;1015.40;1016.10;-;-;-;-;-;-;-;-
ATT;202406111200;1.20;-;0.00;257.00;100.00;1.20;195.00;11.20;19.10;727.80;-;1016.90;-;3047.80;-;-;-;-;-;-
CHB;202406111200;10.70;0.00;-;-;63.90;4.20;9.00;13.30;23.80;896.20;-;1016.00;1485.10;-;-;-;-;-;-;-
DIA;202406111200;-1.60;-;-;414.00;100.00;-1.60;236.00;15.10;21.60;707.10;-;1017.10;-;3045.30;-;-;-;-;-;-
MAR;202406111200;14.10;0.00;-;-;79.00;10.50;131.00;4.30;14.40;-;-;-;-;-;-;-;-;-;-;-
OTL;202406111200;21.60;0.00;0.00;410.00;54.00;11.90;279.00;5.00;15.50;965.10;1007.50;1009.10;-;-;-;-;-;-;-;-
LUG;202406111200;22.70;0.00;3.00;438.00;59.20;14.30;120.00;10.10;18.70;973.50;1007.60;1009.00;-;-;-;-;-;-;-;-
LUZ;202406111200;11.70;0.00;0.00;132.00;88.70;9.90;354.00;4.30;7.20;963.10;1016.70;1016.80;-;-;-;-;-;-;-;-
LAE;202406111200;9.20;-;0.00;252.00;80.00;5.90;136.00;2.20;6.50;918.80;-;1016.60;1486.20;-;-;-;-;-;-;-
MAG;202406111200;22.40;0.00;0.00;192.00;53.50;12.50;283.00;11.20;20.90;984.00;1007.40;1008.30;-;-;-;-;-;-;-;-
MAS;202406111200;13.90;0.00;-;-;72.80;9.10;60.00;16.60;22.30;-;-;-;-;-;-;-;-;-;-;-
